Term1,Id wiki,Term2,Id wiki,,term1 es,id wiki es,term2 es,id wiki es,Term 1 eu,,Term 2 eu,,Mean
magician,7689495,wizard,7689495,,Mago,27550,Ilusionista,83179,,-1,,-1,9.02
midday,209005,noon,209005,,Mediodía,58912,Mediodía,58912,Eguerdi,,Eguerdi,,9.29
furnace,238150,stove,556358,,Estufa (calefacción) ,2054257,Estufa (calefacción),2054257,,-1,,-1,8.79
food,10646,fruit,10843,,Alimento,148,Fruto (a),31571,Janari,,,-1,7.52
bird,3410,cock,26574,,Aves,906733,Gallo,1409670,Hegazti,,,-1,7.1
bird,3410,crane,198041,,Aves,906733,Gruidae (pajaro),69602,,-1,,-1,7.38
tool,30677,implement,30677,,Herramienta,74925,Implementar,-1,Tresna,,,-1,6.46
brother,419369,monk,419369,,hermano,534194,monje,445853,,-1,Monakotza,,6.27
crane,318378,implement,30677,,Grúa (máquina),,Implementar,-1,Garabi,,,-1,2.69
lad,-1,brother,352169,,chico,-1,hermano,-1,Mutil,,anaia,,4.46
journey,163941,car,13673345,,viaje,2043985,coche,18019,Bidaia,,Automobil,,5.85
monk,419369,oracle,22589,,monje,445853,Oraculo,651827,Monakotza,,Orakulu,,5
cemetery,63752,woodland,66986,,Cementerio,84163,bosque,19291,Hilerri,,Baso,,2.08
food,10646,rooster,26574,,Alimento,148,gallo,1409670,,-1,,-1,4.42
coast,5236,hill,1408983,,costa,89250,colina,337965,Itsasertz,,Muino,,4.38
forest,11090,graveyard,247010,,bosque,19291,Cementerio,84163,Baso,,Hilerri,,1.85
shore,480527,woodland,66986,,Ribera (orilla),199696,bosque,19291,,-1,,-1,3.08
monk,419369,slave,27992,,monje,445853,Esclavo,43139,Monakotza,,Esklabotza,,0.92
coast,5236,forest,11090,,costa,89250,costa,89250,Itsasertz,,Baso,,3.15
lad,-1,wizard,7689495,,chica,-1,Mago-hechicero,27550,,-1,,-1,0.92
chord,297947,smile,187557,,Cuerda (geometría) ,5301606,Sonrisa,141352,,-1,,-1,0.54
glass,12581,magician,25152964,,Vidrio,26553,Mago,27550,Beira,,,-1,2.08
noon,209005,string,1810027,,Mediodía,58912,Cordel (textil),3133413,eguerdi,,,-1,0.54
rooster,26574,voyage,-1,,gallo,1409670,viaje,2043985,,-1,Bidaia,,0.62
money,8983183,dollar,8100,,dinero,23556,dólar,21288,Diru,,Dolar,,8.42
money,8983183,cash,55336,,dinero,23556,Dinero en efectivo,278165,Diru,,Eskudiru,,9.08
money,8983183,currency,5665,,dinero,23556,Divisa,2476004,Diru,,Dibisa,,9.04
money,8983183,wealth,192617,,dinero,23556,Riqueza,160093,Diru,,,-1,8.27
money,8983183,property,23626,,dinero,23556,Propiedad,182912,Diru,,,-1,7.57
money,8983183,possession,24189,,dinero,23556,Posesion,130204,Diru,,,-1,7.29
money,8983183,bank,19360669,,dinero,23556,Banco,42950,Diru,,Banku,,8.5
money,8983183,deposit,30873450,,dinero,23556,Cuenta de ahorro,1248594,Diru,,Ageriko gordailu,,7.73
money,8983183,withdrawal,-1,,dinero,23556,jubilacion (pension),360707,Diru,,,-1,6.88
money,8983183,laundering,19390,,dinero,23556,Lavado de dinero(blanquear),1884088,Diru,,,-1,5.65
money,8983183,operation,45599,,dinero,23556,Cirugía,1529521,Diru,,Kirurgia,,3.31
tiger,30075,jaguar,16217,,tigre,25113,Panthera onca (jaguar,26796,Tigre,,Jaguar,,8
tiger,30075,feline,11302,,tigre,25113,Felidae(felino),31555,Tigre,,Felidae,,8
tiger,30075,carnivore,6543,,tigre,25113,Carnívoro,18053,Tigre,,Haragijale,,7.08
tiger,30075,mammal,18838,,tigre,25113,Mammalia(mamifero,26079,Tigre,,Ugaztun,,6.85
tiger,30075,animal,11039790,,tigre,25113,Animalia(animales),235,Tigre,,Animalia,,7
tiger,30075,organism,19653842,,tigre,25113,Ser vivo,7624,Tigre,,Organismo,,4.77
tiger,30075,fauna,722672,,tigre,25113,Fauna,34684,Tigre,,Fauna,,5.62
tiger,30075,zoo,9096372,,tigre,25113,Jardín zoológico(zoo),28250,Tigre,,Parke zoologiko,,5.87
psychology,22921,psychiatry,18973869,,Psicología,2127,Psiquiatría,12675,Psikologia,,Psikiatria,,8.08
psychology,22921,anxiety,922,,Psicología,2127,Trastorno de ansiedad,5204342,Psikologia,,,-1,7
psychology,22921,fear,10828,,Psicología,2127,Miedo,72322,Psikologia,,,-1,6.85
psychology,22921,depression,8389,,Psicología,2127,Depresión,29840,Psikologia,,,-1,7.42
psychology,22921,clinic,832314,,Psicología,2127,Clínica,40939,Psikologia,,,-1,6.58
psychology,22921,doctor,23315,,Psicología,2127,Médico,2564590,Psikologia,,Mediku,,6.42
psychology,22921,Freud,26743,,Psicología,2127,Sigmund Freud(invesigador psicologico),19304,Psikologia,,Sigmund Freud,,8.21
psychology,22921,mind,19378,,Psicología,2127,Mente,141256,Psikologia,,Gogamen,,7.69
psychology,22921,health,80381,,Psicología,2127,Salud,2680,Psikologia,,Osasun,,7.23
psychology,22921,science,26700,,Psicología,2127,Ciencia,622,Psikologia,,Zientzia,,6.71
psychology,22921,discipline,267487,,Psicología,2127,Disciplina,2429965,Psikologia,,,-1,5.58
psychology,22921,cognition,106238,,Psicología,2127,Cognición,4201688,Psikologia,,Kognizio,,7.48
planet,22915,star,26808,,Planeta,2141,Estrella,3364,Planeta,,Izar,,8.45
planet,22915,constellation,5267,,Planeta,2141,Constelación,441,Planeta,,Konstelazio,,8.06
planet,22915,moon,19331,,Planeta,2141,Luna,5189863,Planeta,,Ilargia,,8.08
planet,22915,sun,26751,,Planeta,2141,Sol,2570,Planeta,,Eguzkia,,8.02
planet,22915,galaxy,12558,,Planeta,2141,Galaxia,7364,Planeta,,Galaxia,,8.11
planet,22915,space,27667,,Planeta,2141,Espacio (física),4073767,Planeta,,Espazio,,7.92
planet,22915,astronomer,580,,Planeta,2141,Astrónomo,46117,Planeta,,,,7.94
precedent,23004,example,-1,,Stare decisis(precedente juridico),440171,Ejemplo,-1,,,,,5.85
precedent,23004,information,18985062,,Stare decisis,440171,Información,9718,,,Informazio,,3.85
precedent,23004,cognition,106238,,Stare decisis,440171,Cognición,4201688,,,Kognizio,,2.81
precedent,23004,law,18949668,,Stare decisis,440171,Derecho,860,,,Zuzenbide,,6.65
precedent,23004,collection,-1,,Stare decisis,440171,Colección (conjunto),806,,,,,2.5
precedent,23004,group,-1,,Stare decisis,440171,Grupo,32419,,,,,1.77
precedent,23004,antecedent,6192035,,Stare decisis,440171,Antecedente,-1,,,,,6.04
cup,1424937,coffee,604727,,taza,509486,Café,298700,,,Kafe,,6.58
cup,1424937,tableware,1151989,,taza,509486,Vajilla,415314,,,,,6.85
cup,1424937,article,-1,,taza,509486,Articulo,-1,,,,,2.4
cup,1424937,artifact,584894,,taza,509486,Artefacto arqueológico,4462580,,,,,2.92
cup,1424937,object,-1,,taza,509486,Objeto,-1,,,,,3.69
cup,1424937,entity,42176,,taza,509486,Entidad,84060,,,,,2.15
cup,1424937,drink,7984,,taza,509486,Bebida,15998,,,,,7.25
cup,1424937,food,10646,,taza,509486,Alimento,148,,,Janari,,5
cup,1424937,substance,-1,,taza,509486,substancia,909196,,,,,1.92
cup,1424937,liquid,18993825,,taza,509486,Líquido,698355,,,Likido,,5.9
jaguar,16217,cat,6678,,Panthera onca,26796,Felis silvestris catus (gato),409000,Jaguar,,,,7.42
jaguar,147676,car,13673345,,Jaguar Cars,158259,Automóvil,18019,Jaguar Cars,,,,7.27
energy,9649,secretary,214196,,Energía,2482150,Secretario (administración),393541,Energia,,,,1.81
secretary,782026,senate,24909346,,secretaria,-1,Senado de los Estados Unidos,231698,not found,,,,5.06
energy,9649,laboratory,173351,,Energía,2482150,Laboratorio,1832489,Energia,,,,5.09
computer,7878457,laboratory,173351,,Computadora,8985,Laboratorio,1832489,Ordenagailu,,,,6.78
weapon,33496,secret,66505,,Arma,16080,Secreto,683381,Arma,,,,6.06
FBI,11127,fingerprint,84777,,FBI,54927,Huella dactilar,195819,FBI,,,,6.94
FBI,11127,investigation,37297,,FBI,54927,investigacion,-1,FBI,,,,8.31
investigation,37297,effort,-1,,investigacion,-1,esfuerzi,-1,not found,,,,4.59
Mars,14640471,water,33306,,Marte (planeta),1787,Agua,2444645,Marte,,,,2.94
Mars,14640471,scientist,26997,,Marte (planeta),1787,Científico,13261,Marte,,,,5.63
news,20781999,report,4692150,,Noticia,85311,Informe,1008058,Albiste,,,,8.16
canyon,78478,landscape,205135,,Cañón (geomorfología),55751,Paisaje,3468,Arroila,,,,7.53
image,71925,surface,27865,,Imagen,4316322,Superficie (matemática),4218,not found,,,,4.56
discovery,28238,space,27667,,Transbordador espacial Discovery,13607,Espacio (física),4073767,not found,,,,6.34
water,33306,seepage,1276437,,Agua,2444645,Mecánica de suelos,154344,Ur,,,,6.56
sign,875650,recess,1134265,,Símbolo monetario,1405324,Recreo estudiantil,4869561,not found,,,,2.38
Wednesday,54634,news,20781999,,Miércoles,11148,Noticia,85311,Asteazken,,,,2.22
mile,19159,kilometer,50510,,Milla,1766,Kilómetro,1597,Milia,,,,8.66
computer,7878457,news,20781999,,Computadora,8985,Noticia,85311,Ordenagailu,,,,4.47
territory,6450815,surface,27865,,Territorio (subdivisión de país),956936,Superficie (matemática),4218,not found,,,,5.34
atmosphere,202899,landscape,205135,,Atmósfera,208166,Paisaje,3468,not found,,,,3.69
president,24113,medal,375211,,Presidente de los Estados Unidos,28105,Medalla,148402,not found,,,,3
war,33158,troops,195091,,Guerra,1313,tropas (del ejerctito),-1,Gerra,,,,8.13
record,-1,number,21690,,record,-1,Número,2002,not found,,,,6.31
skin,27978,eye,157898,,Piel,6626,Ojo,3172583,Azal (anatomia),,,,6.22
Japanese,186932,American,3434750,,Japonés (etnia),1328767,Estados Unidos,2400722,Japoniar,,,,6.5
theater,20913771,history,10772350,,Teatro,2780,Historia,1370,Antzerki,,,,3.91
volunteer,30874303,motto,70210,,Voluntariado,176743,Lema,1269442,not found,,,,2.56
prejudice,77182,recognition,8874869,,Prejuicio,139614,reconocimiento (de acusar),-1,Aurreiritzi,,,,3
decoration,340586,valor,49899,,decoracion,-1,Coraje,2148064,not found,,,,5.63
century,5881,year,34341,,Siglo,21412,Año,37,Mende,,,,7.59
century,5881,nation,21754,,Siglo,21412,Nación,666600,Mende,,,,3.16
delay,-1,racism,25613,,retraso,-1,Racismo,31924,not found,,,,1.19
delay,-1,news,20781999,,retraso,-1,Noticia,85311,not found,,,,3.31
minister,739237,party,23996,,Ministro,89618,Partido político,27039,Ministro,,,,6.63
peace,24702,plan,179824,,Paz,43655,plan,-1,Bake,,,,4.75
minority,437868,peace,24702,,Minoría,525816,Paz,43655,not found,,,,3.69
attempt,-1,peace,24702,,not found,not found,Paz,43655,not found,,,,4.25
government,12229,crisis,492128,,Gobierno,1314,Crisis,394822,Gobernu,,,,6.56
deployment,-1,departure,-1,,not found,not found,salida,-1,not found,,,,4.25
deployment,3758871,withdrawal,1531454,,not found,not found,Retirada,636215,not found,,,,5.88
energy,9649,crisis,492128,,Energía,2482150,Crisis,394822,Energia,,,,5.94
announcement,-1,news,20781999,,anuncio,-1,Noticia,85311,not found,,,,7.56
announcement,-1,effort,9649,,anuncio,-1,Energía,2482150,not found,,,,2.75
stroke,625404,hospital,18994221,,Accidente cerebrovascular,41549,Hospital,30364,Istripu zerebrobaskular,,,,7.03
disability,56285,death,8221,,Discapacidad,29158,Muerte,1942,not found,,,,5.47
victim,-1,emergency,146334,,victima,-1,urgencias hospitalarias,3109890,not found,,,,6.47
treatment,13311819,recovery,-1,,Tratamiento (medicina),320824,recuperacion,-1,Tratamendu,,,,7.91
journal,324572,association,28831284,,revista,-1,Asociación voluntaria,5255990,not found,,,,4.97
doctor,23315,personnel,46053,,Médico,2564590,Recursos humanos,115172,Mediku,,,,5
doctor,23315,liability,1210255,,Médico,2564590,Responsabilidad civil,208580,Mediku,,,,5.19
liability,1210255,insurance,15176,,Responsabilidad civil,208580,Contrato de seguro,78754,not found,,,,7.03
school,28022,center,-1,,Escuela,79448,centro,-1,Eskola,,,,3.44
reason,42446,hypertension,77432,,Razón,505389,Hipertensión arterial,35096,not found,,,,2.31
reason,-1,criterion,-1,,razon,-1,criterio,-1,not found,,,,5.91
hundred,208261,percent,64493,,Hundred,5095432,Porcentaje,59256,not found,,,,7.38
Harvard,18426501,Yale,34273,,Universidad de Harvard,33796,Universidad Yale,4533248,Harvard Unibertsitatea,,,,8.13
hospital,18994221,infrastructure,174521,,Hospital,30364,Infraestructura urbana,15763,Ospitale,,,,4.63
death,8221,row,-1,,Muerte,1942,not found,-1,Heriotza,,,,5.25
death,8221,inmate,31392139,,Muerte,1942,not found,-1,Heriotza,,,,5.03
lawyer,17541,evidence,2001231,,Abogado,54263,Prueba (Derecho),849359,Abokatu,,,,6.69
life,18393,death,8221,,Vida,14666,Muerte,1942,Bizi,,,,7.88
life,18393,term,-1,,Vida,14666,termino,-1,Bizi,,,,4.5
word,1449866,similarity,1473135,,Palabra,11821,similaridad,-1,Hitz,,,,4.75
board,4822,recommendation,-1,,Consejo de administración,1794789,recomendacion,-1,not found,,,,4.47
governor,56231,interview,236975,,Gobernador,80941,Entrevista periodística,211706,Gobernadore,,,,3.25
OPEC,166346,country,5165,,Organización de Países Exportadores de Petróleo,44580,País,2384,LPEE,,,,5.63
peace,24702,atmosphere,-1,,Paz,43655,atmosfera,-1,Bake,,,,3.69
peace,24702,insurance,15176,,Paz,43655,Contrato de seguro,78754,Bake,,,,2.94
territory,6450815,kilometer,50510,,Territorio (subdivisión de país),956936,Kilómetro,1597,not found,,,,5.28
travel,155747,activity,-1,,Viaje,2043985,actividad,-1,Bidaia,,,,5
competition,181592,price,211295,,competicion,-1,Precio,14765,not found,,,,6.44
consumer,7818,confidence,2973525,,Consumidor,71369,confianza,-1,Kontsumitzaile,,,,4.13
consumer,7818,energy,2935251,,Consumidor,71369,Industria de la energía,4364251,Kontsumitzaile,,,,4.75
problem,608760,airport,37575,,problema,-1,Aeropuerto,823432,not found,,,,2.38
car,13673345,flight,159472,,Automóvil,18019,Vuelo,335326,Automobil,,,,4.94
credit,1698417,card,-1,,Crédito,167934,tarjeta,-1,Kreditu (finantza),,,,8.06
credit,1698417,information,18985062,,Crédito,167934,Información,9718,Kreditu (finantza),,,,5.31
hotel,14276,reservation,-1,,Hotel,104151,reserva,-1,Hotel,,,,8.03
grocery,239196,money,8983183,,Tienda de ultramarinos,175809,Dinero,23556,not found,,,,5.94
registration,-1,arrangement,-1,,registro,-1,acuerdo,-1,not found,,,,6
arrangement,-1,accommodation,230468,,acuerdo,-1,alojamiento,-1,not found,,,,5.41
month,20354,hotel,14276,,Mes,1826,Hotel,104151,Hilabete,,,,1.81
type,-1,kind,-1,,typo,-1,not found,-1,not found,,,,8.97
arrival,-1,hotel,14276,,llegada,-1,Hotel,104151,not found,,,,6
bed,951407,closet,49402,,Cama,98596,Closet,847437,Ohe,,,,6.72
closet,49402,clothes,38180,,Closet,847437,Indumentaria,67554,not found,,,,8
situation,19039812,conclusion,-1,,Situación,5252420,not found,-1,not found,,,,4.81
situation,19039812,isolation,962509,,Situación,5252420,Soledad,1173758,not found,,,,3.88
impartiality,1659824,interest,20982422,,Imparcialidad,1901410,not found,-1,not found,,,,5.16
direction,4767947,combination,5308,,direccion,-1,Combinación,4906926,not found,,,,2.25
street,199065,place,-1,,Calle,373121,not found,-1,Kale,,,,6.44
street,199065,avenue,1006179,,Calle,373121,Avenida,934677,Kale,,,,8.88
street,199065,block,948686,,Calle,373121,Manzana urbana,541934,Kale,,,,6.88
street,199065,children,128987,,Calle,373121,Niño,47367,Kale,,,,4.94
listing,-1,proximity,39378,,listado,-1,Distancia,873,not found,,,,2.56
listing,-1,category,-1,,listado,-1,categoria,-1,not found,,,,6.38
cell,-1,phone,30003,,celula,-1,Teléfono,6257,not found,,,,7.81
production,-1,hike,-1,,produccion,-1,excursion,-1,not found,,,,1.75
benchmark,223063,index,-1,,Benchmarking,193346,indice,-1,Benchmarking,,,,4.25
media,19641,trading,29678,,Medio de comunicación de masas,1133166,Comercio,4361,not found,,,,3.88
media,19641,gain,41968,,Medio de comunicación de masas,1133166,Ganancia (electrónica),210772,not found,,,,2.88
dividend,41930,payment,3648961,,Dividendo (economía),336282,Pago,6547,Dibidendu,,,,7.63
dividend,41930,calculation,239121,,Dividendo (economía),336282,Cuenta (matemáticas),4836806,Dibidendu,,,,6.48
calculation,239121,computation,5926,,Cuenta (matemáticas),4836806,calculo,-1,not found,,,,8.44
currency,5665,market,3736784,,Divisa,2476004,Mercado,14762,Dibisa,,,,7.5
OPEC,166346,oil,4207510,,Organización de Países Exportadores de Petróleo,44580,Aceite,13609,LPEE,,,,8.59
oil,4207510,stock,19372783,,Aceite,13609,stock,-1,Olio,,,,6.34
announcement,-1,production,-1,,anuncio,-1,produccion,-1,not found,,,,3.38
announcement,-1,warning,-1,,anuncio,-1,advertenecia,-1,not found,,,,6
profit,19417927,warning,-1,,ganancia,-1,advertenecia,-1,not found,,,,3.88
profit,19417927,loss,-1,,ganancai,-1,perdida,-1,not found,,,,7.63
dollar,8100,yen,34392,,Dólar,21288,Yen,14026,Dolar,,,,7.78
dollar,8100,buck,8100,,Dólar,21288,Dólar,21288,Dolar,,,,9.22
dollar,8100,profit,19417927,,Dólar,21288,Ganancia ,-1,Dolar,,,,7.38
dollar,8100,loss,-1,,Dólar,21288,perdida,-1,Dolar,,,,6.09
computer,7878457,software,5309,,Computadora,8985,Software,2555,Ordenagailu,,,,8.5
network,4122592,hardware,13615,,Red de computadoras,4842242,hardware,-1,Konputagailu-sare,,,,8.31
phone,30003,equipment,30677,,Teléfono,6257,Herramienta,74925,Telefono,,,,7.13
equipment,30677,maker,-1,,Herramienta,74925,productor,-1,Tresna,,,,5.91
luxury,251887,car,13673345,,Segmento F,583104,Automóvil,18019,not found,,,,6.47
five,6412297,month,20354,,Cinco,18030,Mes,1826,Bost,,,,3.38
report,4692150,gain,-1,,Informe,1008058,Ganancia ,-1,not found,,,,3.63
investor,332730,earning,15037,,not found,not found,Ingreso,79119,not found,,,,7.13
liquid,18993825,water,33306,,Líquido,1669,Agua,2444645,Likido,,,,7.89
baseball,3850,season,690345,,Béisbol,972331,Temporada (deporte),725057,Beisbol,,,,5.97
game,18723138,victory,19045066,,Juego,1555,Victoria (triunfo),5109881,Joko,,,,7.03
game,18723138,team,140801,,Juego,1555,Equipo,549463,Joko,,,,7.69
marathon,49132,sprint,89276,,Maratón,9232,Carrera de velocidad,970848,Maratoi,,,,7.47
game,18723138,series,-1,,Juego,1555,serie (sucesion),-1,Joko,,,,6.19
game,18723138,defeat,-1,,Juego,1555,derrota ,-1,Joko,,,,6.97
seven,208159,series,-1,,Siete,18033,serie (sucesion),-1,Zazpi,,,,3.56
seafood,26866,sea,18842323,,Marisco,78712,Mar,11451,not found,,,,7.47
seafood,26866,food,10646,,Marisco,78712,Alimento,148,not found,,,,8.34
seafood,26866,lobster,46310,,Marisco,78712,Nephropidae,72486,not found,,,,8.7
lobster,46310,food,10646,,Nephropidae,72486,Alimento,148,not found,,,,7.81
lobster,46310,wine,32961,,Nephropidae,72486,Vino,3990,not found,,,,5.7
food,10646,preparation,3322403,,Alimento,148,preparacion,-1,Janari,,,,6.22
video,32441,archive,316723,,Vídeo,71828,Archivo de documentos,163736,Bideo,,,,6.34
start,-1,year,34341,,empezar,-1,Año,37,not found,,,,4.06
start,-1,match,-1,,empezar,-1,partido,-1,not found,,,,4.47
game,18723138,round,-1,,Juego,1555,round (boxeo),-1,Joko,,,,5.97
boxing,4243,round,-1,,Boxeo,16373,round (boxeo),-1,Boxeo,,,,7.61
championship,3884434,tournament,146996,,campeonato,-1,Competición (juego),161567,not found,,,,8.36
fighting,23210314,defeating,-1,,Combate,4845843,not found,-1,not found,,,,7.41
line,-1,insurance,15176,,linea,-1,Contrato de seguro,78754,not found,,,,2.69
day,8376,summer,29392,,Día,850,Verano,21881,Egun,,,,3.94
summer,29392,drought,37335,,Verano,21881,Sequía,51797,Uda,,,,7.16
summer,29392,nature,21830,,Verano,21881,Naturaleza,2034,Uda,,,,5.63
day,8376,dawn,191061,,Día,850,Alba,113862,Egun,,,,7.53
nature,21830,environment,558685,,Naturaleza,2034,Medio ambiente,5349,Natura,,,,8.31
environment,558685,ecology,9630,,Medio ambiente,5349,Ecología,1010,Ingurumen,,,,8.81
nature,21830,man,15822899,,Naturaleza,2034,Varón,6637,Natura,,,,6.25
man,15822899,woman,33183,,Varón,6637,Mujer,6638,Gizon,,,,8.3
man,15822899,governor,56231,,Varón,6637,Gobernador,80941,Gizon,,,,5.25
murder,20171,manslaughter,7397035,,Asesinato,5502,Homicidio,59211,Erailketa,,,,8.53
soap,-1,opera,-1,,culebron,-1,opera (musical),-1,not found,,,,7.94
opera,22348,performance,224515,,Ópera,26911,not found,-1,Opera,,,,6.88
life,-1,lesson,668100,,not found,-1,Lección,327991,not found,,,,5.94
focus,-1,life,-1,,"foco, centro",-1,vida,-1,not found,,,,4.06
